City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
200,Neiafu,40,TO,2021-06-11 05:41:57,88,-18.65,-173.9833,74.08,9.22
201,Colares,64,PT,2021-06-11 05:41:57,79,38.7992,-9.4469,62.44,5.99
202,Mancheral,98,IN,2021-06-11 05:41:57,54,18.8667,79.4333,88.63,15.3
203,Saryg-Sep,100,RU,2021-06-11 05:41:58,52,51.5,95.6,62.24,6.82
204,Karasjok,100,NO,2021-06-11 05:41:58,60,69.4719,25.5112,66.31,21.27
205,Magistralnyy,100,RU,2021-06-11 05:41:58,60,56.1725,107.4458,57.65,5.84
206,Soe,93,ID,2021-06-11 05:41:58,83,-9.8607,124.284,70.54,6.8
207,Wajima,0,JP,2021-06-11 05:41:59,57,37.4,136.9,81.28,6.91
208,Havoysund,100,NO,2021-06-11 05:41:59,95,70.9963,24.6622,59.88,11.79
209,Verkhnevilyuysk,100,RU,2021-06-11 05:42:00,35,63.4453,120.3167,64.56,11.9
210,Bowen,53,AU,2021-06-11 05:42:00,49,-20.0167,148.2333,73.62,7.92
211,Saquena,95,PE,2021-06-11 05:42:00,84,-4.6667,-73.5167,75.76,1.92
212,Vilhena,95,BR,2021-06-11 05:42:01,59,-12.7406,-60.1458,73.24,1.7
213,Honiara,83,SB,2021-06-11 05:42:01,76,-9.4333,159.95,83.57,7.49
214,Mae Ramat,97,TH,2021-06-11 05:42:02,85,16.984,98.5166,86.32,6.15
215,Yellowknife,90,CA,2021-06-11 05:40:15,62,62.456,-114.3525,55.92,6.91
216,West Wendover,1,US,2021-06-11 05:42:03,30,40.7391,-114.0733,56.41,17.27
217,Xuddur,20,SO,2021-06-11 05:42:03,54,4.1213,43.8894,78.6,23.0
218,Itamaraca,89,BR,2021-06-11 05:42:04,83,-7.7478,-34.8256,72.28,7.78
219,Kruisfontein,45,ZA,2021-06-11 05:42:04,44,-34.0033,24.7314,59.94,8.59
220,Puerto Madryn,100,AR,2021-06-11 05:40:37,69,-42.7692,-65.0385,49.87,16.31
221,Namibe,0,AO,2021-06-11 05:42:05,54,-15.1961,12.1522,72.39,6.91
222,Lafiagi,50,NG,2021-06-11 05:42:05,88,8.8667,5.4167,75.45,3.4
223,Krasnoselkup,100,RU,2021-06-11 05:42:06,48,65.7,82.4667,53.98,20.11
224,Simpang,100,ID,2021-06-11 05:42:06,52,-1.2667,104.0833,91.49,3.15
225,Muros,2,ES,2021-06-11 05:40:36,77,42.7762,-9.0603,65.23,10.4
226,Boyolangu,47,ID,2021-06-11 05:42:06,71,-8.1181,111.8935,83.28,8.95
227,Banda Aceh,90,ID,2021-06-11 05:42:07,63,5.5577,95.3222,87.42,14.36
228,Papar,100,MY,2021-06-11 05:42:07,74,5.7333,115.9333,78.8,6.64
229,Beringovskiy,100,RU,2021-06-11 05:42:07,98,63.05,179.3167,36.16,6.44
230,Yerofey Pavlovich,83,RU,2021-06-11 05:42:08,42,53.9667,121.9667,70.47,3.76
231,Iracoubo,65,GF,2021-06-11 05:42:08,87,5.4802,-53.2011,76.69,7.85
232,Capim Grosso,34,BR,2021-06-11 05:42:08,98,-11.3811,-40.0128,63.18,4.14
233,Oktyabrskiy,66,RU,2021-06-11 05:42:09,72,54.4815,53.471,67.55,6.78
234,Victor Harbor,98,AU,2021-06-11 05:42:09,76,-35.5667,138.6167,60.91,1.01
235,Tonantins,100,BR,2021-06-11 05:42:09,98,-2.8731,-67.8022,72.54,1.54
236,Gat,4,IL,2021-06-11 05:42:09,100,31.61,34.7642,75.4,4.23
237,Hermanus,48,ZA,2021-06-11 05:40:28,72,-34.4187,19.2345,62.91,8.61
238,Isla Vista,1,US,2021-06-11 05:42:10,56,34.4133,-119.861,66.09,3.44
239,Roald,75,NO,2021-06-11 05:42:10,88,62.5833,6.1333,68.11,18.41
240,Kahului,1,US,2021-06-11 05:42:10,69,20.8947,-156.47,77.02,19.57
241,Borbon,92,PH,2021-06-11 05:42:11,75,10.838,124.0297,85.89,3.49
242,Pringsewu,84,ID,2021-06-11 05:42:11,59,-5.3582,104.9744,87.96,1.03
243,Kudahuvadhoo,74,MV,2021-06-11 05:42:11,73,2.6708,72.8944,83.71,13.29
244,Plettenberg Bay,39,ZA,2021-06-11 05:42:12,50,-34.0527,23.3716,63.01,6.8
245,Olafsvik,100,IS,2021-06-11 05:42:12,68,64.8945,-23.7142,40.41,19.6
246,Tuktoyaktuk,40,CA,2021-06-11 05:40:22,71,69.4541,-133.0374,51.8,5.75
247,Beloha,0,MG,2021-06-11 05:42:12,70,-25.1667,45.05,69.58,11.36
248,Lasa,77,IT,2021-06-11 05:42:13,83,46.6166,10.7002,59.02,4.25
249,Guiratinga,98,BR,2021-06-11 05:42:13,55,-16.3494,-53.7583,72.97,3.71
250,Safford,1,US,2021-06-11 05:39:45,12,32.834,-109.7076,85.12,9.22
251,Baie-Comeau,1,CA,2021-06-11 05:42:14,93,49.2168,-68.1489,45.88,2.3
252,Pamanukan,62,ID,2021-06-11 05:42:14,60,-6.2842,107.8106,88.34,7.99
253,Xinzhi,68,CN,2021-06-11 05:42:14,33,36.4989,111.7047,90.7,8.88
254,Fortuna,90,US,2021-06-11 05:39:22,72,40.5982,-124.1573,56.66,3.44
255,Tabas,0,IR,2021-06-11 05:42:15,5,33.5959,56.9244,105.58,9.75
256,Sarankhola,92,BD,2021-06-11 05:42:15,65,22.3082,89.7897,88.56,6.06
257,Pozo Colorado,8,PY,2021-06-11 05:42:15,95,-23.4923,-58.7972,57.78,4.74
258,Peleduy,100,RU,2021-06-11 05:42:16,92,59.6289,112.7406,49.33,3.83
259,Port Moresby,20,PG,2021-06-11 05:42:16,66,-9.4431,147.1797,87.22,8.05
260,Itarema,55,BR,2021-06-11 05:42:16,89,-2.9248,-39.9167,75.81,10.98
261,Te Anau,8,NZ,2021-06-11 05:42:16,91,-45.4167,167.7167,44.94,1.25
