City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
990,Vallenar,CL,84.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
991,Cayenne,GF,84.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
1003,Nieuw Amsterdam,SR,84.36,scattered clouds,5.8833,-55.0833,Globe Hotel
1005,Itarema,BR,83.7,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1008,Ormara,PK,84.07,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
1012,Sabang,ID,83.55,overcast clouds,5.8933,95.3214,Hotel Citra
1014,Ixtapa,MX,88.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
1030,Oranjestad,AW,89.55,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
1039,Cajaruro,PE,85.73,light rain,-5.7364,-78.4256,Hotel Kuelap
1052,Grants,US,82.63,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
1054,Umaria,IN,80.56,overcast clouds,23.5333,80.8333,Krishna Palace
1073,Snyder,US,93.54,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
1075,Garmsar,IR,91.89,clear sky,35.2182,52.3409,Peyvand Hotel
1078,Kilgore,US,89.02,broken clouds,32.3863,-94.8758,Best Western Inn Of Kilgore
1083,Azuaga,ES,87.96,clear sky,38.2667,-5.6833,Casa Rural La Hoya
1086,Sinnamary,GF,80.74,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
1096,Tual,ID,81.12,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
1108,Husainabad,IN,86.72,overcast clouds,24.5333,84.0167,Mehdinager
1110,Vila Praia De Ancora,PT,86.49,few clouds,41.81100000000001,-8.8526,Hotel Meira
1111,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
1112,Las Lomas,PA,84.27,few clouds,8.4333,-82.4,Hotel Castilla
1115,Doha,QA,94.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
1122,Port Blair,IN,83.37,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1123,Zaragoza,ES,81.05,scattered clouds,41.6561,-0.8773,Hotel Goya
1125,Muros,ES,84.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
1129,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
1132,Veraval,IN,85.42,clear sky,20.9,70.3667,Lords Inn Somnath
1135,Santa Rosa,PH,81.1,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
1140,Riacho De Santana,BR,88.59,broken clouds,-13.6092,-42.9389,Apartamento de Kaio.
1141,Hirara,JP,81.91,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
1142,Taos,US,88.21,clear sky,36.4072,-105.5731,El Monte Sagrado
1152,Celestun,MX,86.83,overcast clouds,20.8667,-90.4,Posada Lilia
1154,Pundaguitan,PH,82.36,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
1156,Raymondville,US,93.9,broken clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
1162,Bosaso,SO,93.54,overcast clouds,11.2842,49.1816,Red Sea Hotel
1167,Itaueira,BR,96.46,clear sky,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
1168,Komsomolskiy,UZ,81.75,scattered clouds,40.4272,71.7189,Ikathouse
1176,Garden City,US,91.09,few clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
1178,Tagusao,PH,81.55,overcast clouds,9.1924,117.8141,Toledo
1182,Homestead,US,90.01,broken clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
1186,Tamiahua,MX,88.68,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
1187,Atakpame,TG,84.33,broken clouds,7.5333,1.1333,Hôtel sahélien
